"name","team_name","group","appearances","goals","assists","minutes","total_contributions","contributions_per_90","efficiency_score"
"Kevin Felida","Cura?ao","E","41","4","3","3409","7","0.18","0.17"
"Juninho Bacuna","Cura?ao","E","25","1","1","1120","2","0.16","0.08"
"Leandro Bacuna","Cura?ao","E","40","9","4","3201","13","0.37","0.33"
"Tyrese Noslin","Cura?ao","E","39","2","3","2540","5","0.18","0.13"
"Tahith Chong","Cura?ao","E","24","0","1","816","1","0.11","0.04"
"Jearl Margaritha","Cura?ao","E","35","7","12","2547","19","0.67","0.54"
"Jeremy Antonisse","Cura?ao","E","33","1","2","2262","3","0.12","0.09"
"Kenji Gorr?","Cura?ao","E","30","5","11","1941","16","0.74","0.53"
"Sontje Hansen","Cura?ao","E","22","1","1","728","2","0.25","0.09"
"Ar'jany Martha","Cura?ao","E","48","3","3","3108","6","0.17","0.12"
"Brandley Kuwas","Cura?ao","E","35","7","5","2346","12","0.46","0.34"
"J?rgen Locadia","Cura?ao","E","10","2","2","714","4","0.5","0.4"
"Gervane Kastaneer","Cura?ao","E","23","6","9","1828","15","0.74","0.65"
"Alexandre Pierre","Haiti","C","26","0","0","2340","0","0.0","0.0"
"Johny Placide","Haiti","C","24","0","1","2160","1","0.04","0.04"
"Josu? Duverger","Haiti","C","22","0","0","1980","0","0.0","0.0"
"Hannes Delcroix","Haiti","C","18","1","1","1470","2","0.12","0.11"
"Jean-K?vin Duverne","Haiti","C","22","0","1","1058","1","0.09","0.05"
"Ricardo Ad?","Haiti","C","11","1","0","804","1","0.11","0.09"
"Delentz Pierre","Haiti","C","8","0","1","587","1","0.15","0.12"
"Martin Exp?rience","Haiti","C","25","1","1","1640","2","0.11","0.08"
"Duke Lacroix","Haiti","C","2","0","0","49","0","0.0","0.0"
"Carlens Arcus","Haiti","C","27","0","3","2126","3","0.13","0.11"
"Wilguens Paugain","Haiti","C","28","1","0","1395","1","0.06","0.03"
"Danley Jean Jacques","Haiti","C","0","0","0","0","0","0.0","0.0"
"Leverton Pierre","Haiti","C","12","0","0","333","0","0.0","0.0"
"Carl Saint?","Haiti","C","6","0","0","241","0","0.0","0.0"
"Woodensky Pierre","Haiti","C","1","0","0","53","0","0.0","0.0"
"Jean-Ricner Bellegarde","Haiti","C","31","1","1","1635","2","0.11","0.06"
"Derrick Etienne Jr.","Haiti","C","10","1","1","575","2","0.31","0.2"
"Ruben Providence","Haiti","C","30","1","2","1204","3","0.22","0.1"
"Josu? Casimir","Haiti","C","30","1","0","1585","1","0.06","0.04"
"Louicius Deedson","Haiti","C","9","1","0","320","1","0.28","0.11"
"Wilson Isidor","Haiti","C","36","6","0","1431","6","0.38","0.17"
"Frantzdy Pierrot","Haiti","C","33","4","2","1495","6","0.36","0.18"
"Duckens Nazon","Haiti","C","21","2","2","890","4","0.4","0.19"
"Woobens Pacius","Haiti","C","13","2","0","428","2","0.42","0.15"
"Yassin Fortun?","Haiti","C","24","2","1","1330","3","0.2","0.12"
"Orlando Mosquera","Panama","L","33","0","0","2958","0","0.0","0.0"
"C?sar Samudio","Panama","L","30","0","0","2638","0","0.0","0.0"
"Luis Mej?a","Panama","L","14","0","0","1242","0","0.0","0.0"
"Jos? C?rdoba","Panama","L","32","2","1","2591","3","0.1","0.09"
"Andr?s Andrade","Panama","L","35","3","2","3133","5","0.14","0.14"
"Jiovany Ramos","Panama","L","15","2","0","1337","2","0.13","0.13"
"Roderick Miller","Panama","L","28","0","2","2213","2","0.08","0.07"
"Mart?n Krug","Panama","L","2","0","0","156","0","0.0","0.0"
"Jorge Guti?rrez","Panama","L","0","0","0","0","0","0.0","0.0"
"?ric Davis","Panama","L","0","0","0","0","0","0.0","0.0"
"Amir Murillo","Panama","L","39","4","5","2616","9","0.31","0.23"
"C?sar Blackman","Panama","L","40","3","6","3238","9","0.25","0.22"
"Cristian Mart?nez","Panama","L","33","4","1","2558","5","0.18","0.15"
"Carlos Harvey","Panama","L","7","0","0","397","0","0.0","0.0"
"An?bal Godoy","Panama","L","16","0","0","971","0","0.0","0.0"
"Adalberto Carrasquilla","Panama","L","37","2","7","2700","9","0.3","0.24"
"Jos? Luis Rodr?guez","Panama","L","37","4","9","2938","13","0.4","0.35"
"Ismael D?az","Panama","L","28","10","6","2022","16","0.71","0.57"
"Yoel B?rcenas","Panama","L","31","3","1","2262","4","0.16","0.13"
"C?sar Yanis","Panama","L","11","0","2","744","2","0.24","0.18"
"Kadir Barr?a","Panama","L","20","1","3","903","4","0.4","0.2"
"Jos? Fajardo","Panama","L","16","4","1","1056","5","0.43","0.32"
"Cecilio Waterman","Panama","L","12","1","2","949","3","0.28","0.25"
"Emiliano Mart?nez","Argentina","J","45","0","0","3930","0","0.0","0.0"
"Ger?nimo Rulli","Argentina","J","38","0","0","3420","0","0.0","0.0"
"Juan Musso","Argentina","J","17","0","0","1486","0","0.0","0.0"
"Cristian Romero","Argentina","J","36","6","4","3017","10","0.3","0.28"
"Marcos Senesi","Argentina","J","39","0","5","3320","5","0.14","0.13"
"Tom?s Palacios","Argentina","J","15","0","0","1287","0","0.0","0.0"
"Lucas Mart?nez Quarta","Argentina","J","19","2","0","1547","2","0.12","0.11"
"Nicol?s Otamendi","Argentina","J","50","4","4","4338","8","0.17","0.16"
"Nicol?s Tagliafico","Argentina","J","33","0","3","2208","3","0.12","0.09"
"Gabriel Rojas","Argentina","J","15","1","3","1254","4","0.29","0.27"
"Marcos Acu?a","Argentina","J","14","0","1","1012","1","0.09","0.07"
"Nahuel Molina","Argentina","J","49","2","5","2636","7","0.24","0.14"
"Agust?n Giay","Argentina","J","22","0","0","1469","0","0.0","0.0"
"M?ximo Perrone","Argentina","J","40","3","4","2869","7","0.22","0.18"
"Leandro Paredes","Argentina","J","20","3","3","1451","6","0.37","0.3"
"Enzo Fern?ndez","Argentina","J","54","15","6","4317","21","0.44","0.39"
"Alexis Mac Allister","Argentina","J","58","7","8","4021","15","0.34","0.26"
"Valent?n Barco","Argentina","J","42","3","9","3246","12","0.33","0.28"
"Exequiel Palacios","Argentina","J","25","0","1","1461","1","0.06","0.04"
"Rodrigo De Paul","Argentina","J","16","2","2","1264","4","0.28","0.25"
"Nico Paz","Argentina","J","43","14","8","3384","22","0.59","0.52"
"Nico Gonz?lez","Argentina","J","44","5","3","2233","8","0.32","0.18"
"Thiago Almada","Argentina","J","40","4","3","1804","7","0.35","0.18"
"Franco Mastantuono","Argentina","J","32","3","1","1347","4","0.27","0.13"
"Giuliano Simeone","Argentina","J","55","7","8","3852","15","0.35","0.27"
"Lionel Messi","Argentina","J","16","11","4","1391","15","0.97","0.94"
"Gianluca Prestianni","Argentina","J","40","3","5","1972","8","0.37","0.2"
"Juli?n Alvarez","Argentina","J","52","21","9","3742","30","0.72","0.58"
"Jos? Manuel L?pez","Argentina","J","33","13","8","2345","21","0.81","0.64"
"Ederson","Brazil","C","38","0","0","3422","0","0.0","0.0"
"Hugo Souza","Brazil","C","27","0","0","2430","0","0.0","0.0"
"Bento","Brazil","C","34","0","0","3060","0","0.0","0.0"
"Bremer","Brazil","C","30","5","3","2479","8","0.29","0.27"
"Vitor Reis","Brazil","C","34","1","1","2927","2","0.06","0.06"
"Marquinhos","Brazil","C","32","2","0","2654","2","0.07","0.06"
"Roger Iba?ez","Brazil","C","0","0","0","0","0","0.0","0.0"
"L?o Pereira","Brazil","C","25","2","0","2107","2","0.09","0.08"
"Danilo","Brazil","C","15","1","0","1005","1","0.09","0.07"
"Kaiki","Brazil","C","27","0","3","2314","3","0.12","0.11"
"Douglas Santos","Brazil","C","26","2","2","2113","4","0.17","0.15"
"Fabinho","Brazil","C","43","3","3","3695","6","0.15","0.14"
"Casemiro","Brazil","C","40","10","3","2994","13","0.39","0.32"
"Andrey Santos","Brazil","C","44","2","4","2424","6","0.22","0.13"
"Danilo","Brazil","C","24","11","3","1905","14","0.66","0.58"
"Gabriel Sara","Brazil","C","43","6","5","2808","11","0.35","0.25"
"Vinicius Junior","Brazil","C","56","22","16","4465","38","0.77","0.68"
"Gabriel Martinelli","Brazil","C","53","13","6","2398","19","0.71","0.36"
"Rayan","Brazil","C","15","6","2","1028","8","0.7","0.53"
"Luiz Henrique","Brazil","C","37","5","5","2503","10","0.36","0.27"
"Jo?o Pedro","Brazil","C","51","20","9","3638","29","0.72","0.57"
"Matheus Cunha","Brazil","C","40","9","5","2928","14","0.43","0.35"
"Igor Thiago","Brazil","C","39","26","1","3209","27","0.76","0.69"
"Endrick","Brazil","C","23","8","9","1585","17","0.97","0.74"
"?lvaro Montero","Colombia","K","19","0","0","1710","0","0.0","0.0"
"Camilo Vargas","Colombia","K","33","0","2","2970","2","0.06","0.06"
"David Ospina","Colombia","K","0","0","0","0","0","0.0","0.0"
"Jhon Lucum?","Colombia","K","46","2","1","3792","3","0.07","0.06"
"Davinson S?nchez","Colombia","K","48","2","1","3954","3","0.07","0.06"
"Yerson Mosquera","Colombia","K","29","0","0","2260","0","0.0","0.0"
"Juan Cabal","Colombia","K","20","2","1","604","3","0.45","0.15"
"Deiver Machado","Colombia","K","23","0","1","1363","1","0.07","0.05"
"Johan Mojica","Colombia","K","37","0","4","2885","4","0.12","0.1"
"Daniel Mu?oz","Colombia","K","44","5","3","3735","8","0.19","0.18"
"Santiago Arias","Colombia","K","15","0","3","1022","3","0.26","0.2"
"Richard R?os","Colombia","K","49","7","6","3814","13","0.31","0.27"
"Jefferson Lerma","Colombia","K","50","2","7","2681","9","0.3","0.18"
"Kevin Casta?o","Colombia","K","10","0","0","288","0","0.0","0.0"
"Gustavo Puerta","Colombia","K","35","4","1","2716","5","0.17","0.15"
"Jorge Carrascal","Colombia","K","30","2","4","1540","6","0.35","0.2"
"James Rodr?guez","Colombia","K","26","4","4","1559","8","0.46","0.31"
"Juan Fernando Quintero","Colombia","K","19","3","4","895","7","0.7","0.37"
"Luis D?az","Colombia","K","54","28","21","4264","49","1.03","0.9"
"Andr?s G?mez","Colombia","K","26","3","3","1954","6","0.28","0.23"
"J?minton Campaz","Colombia","K","18","2","5","1140","7","0.55","0.39"
"Johan Carbonero","Colombia","K","20","4","3","1232","7","0.51","0.35"
"Jhon Arias","Colombia","K","48","7","3","2844","10","0.32","0.21"
"Luis Su?rez","Colombia","K","54","35","9","4346","44","0.91","0.81"
"Jhon C?rdoba","Colombia","K","41","21","9","3109","30","0.87","0.73"
"Rafael Borr?","Colombia","K","26","6","2","1499","8","0.48","0.31"
"Gonzalo Valle","Ecuador","E","16","0","0","1409","0","0.0","0.0"
"Mois?s Ram?rez","Ecuador","E","29","0","0","2567","0","0.0","0.0"
"David Cabezas","Ecuador","E","14","0","0","1201","0","0.0","0.0"
"Hern?n Gal?ndez","Ecuador","E","20","0","0","1800","0","0.0","0.0"
"Willian Pacho","Ecuador","E","49","2","1","4259","3","0.06","0.06"
"Piero Hincapi?","Ecuador","E","41","1","2","2942","3","0.09","0.07"
"Joel Ord??ez","Ecuador","E","48","4","0","4043","4","0.09","0.08"
"L?o Realpe","Ecuador","E","24","1","1","1608","2","0.11","0.08"
"Jackson Porozo","Ecuador","E","34","2","0","3029","2","0.06","0.06"
"F?lix Torres","Ecuador","E","18","1","0","1391","1","0.06","0.05"
"Pervis Estupi??n","Ecuador","E","24","1","1","1445","2","0.12","0.08"
